Orthogroup	Solanum_lycopersicum	Brassica_napus
OG0000147	PRAM_26245.1.p1	CDY25688
OG0000147	Solyc05T000399.1, Solyc04T000158.1, Solyc05T000401.1	CDX99488
OG0000155	Solyc01T000861.1, Solyc07T001352.1, Solyc07T001238.1, Solyc07T001220.1, Solyc01T001981.1, Solyc01T001483.1, Solyc07T001275.1, Solyc07T001218.1, Solyc07T001267.1, Solyc07T001260.1, Solyc07T001270.1, Solyc07T001271.1, Solyc07T001258.1, Solyc07T001356.1, Solyc07T001276.1, Solyc07T001354.1, Solyc01T003173.1, Solyc09T000816.1, Solyc07T001264.1, Solyc01T001482.1, Solyc01T001497.1, Solyc07T001257.1, Solyc01T001982.1	CDY10612
OG0000164	Solyc08T000138.1, Solyc06T001460.1, Solyc06T001458.2, Solyc06T001461.1, Solyc06T001459.1	CDY38574, CDY39533, CDY31755, CDY50141, CDY31759, CDY50138, CDY70035, CDY58212, CDY70862, CDY50139, CDY31756
OG0000165	Solyc04T000244.1, Solyc05T000285.1, Solyc12T001869.1, Solyc03T002257.1	CDY44475, CDY45156, CDY30914, CDX79850, CDY59122
OG0000173	Solyc03T001308.1, Solyc10T001267.1, Solyc11T001356.1, Solyc11T001808.1, Solyc05T001447.1, Solyc11T001363.1, Solyc11T001910.1, Solyc09T001365.1, Solyc11T001803.1	CDY45483
OG0000176	Solyc01T000711.1, Solyc01T000713.1, Solyc01T000701.1, Solyc01T000124.1, Solyc01T000712.1, Solyc01T000709.1, Solyc01T000696.1, Solyc01T000708.1	CDY02186, CDY51637, CDY02187, CDY51636, CDY16833, CDY66185, CDY42840, CDY71241
OG0000179	Solyc01T003499.1, Solyc01T003498.2, Solyc01T003496.1	CDX74487, CDY37880, CDY69099, CDY11695, CDY15957, CDX99669, CDY05545
OG0000182	Solyc01T004373.1, Solyc01T004374.1	CDX72526, CDX76319, CDY17527, CDX72527, CDX76320, CDY17528, CDY17526, CDY31383, CDX71332, CDY39489, CDY02221, CDY39490, CDY02220, CDX71331, CDY31384, CDY07881, CDY17525
OG0000183	Solyc01T001488.1, Solyc12T001794.1, Solyc12T000103.1, Solyc08T001562.1, Solyc06T000209.1, Solyc06T000211.2, Solyc10T001679.1, Solyc12T002815.1	CDY23773
OG0000184	Solyc04T001562.1, Solyc03T000911.1, Solyc05T001743.1, Solyc05T001744.1, Solyc10T002741.1	CDY01802
OG0000188	Solyc07T002250.2, Solyc10T000297.2, Solyc10T000296.2, Solyc07T001923.1, Solyc07T002436.2, Solyc07T002241.1, Solyc07T002252.1, Solyc07T001924.1, Solyc07T002251.1, Solyc07T002249.1, Solyc07T002393.1, Solyc07T000123.1, Solyc10T001661.1	CDX98481
OG0000189	Solyc05T001376.1	CDX91262
OG0000189	Solyc03T001480.1, Solyc03T001481.1, Solyc01T001385.1	CDY59595, CDY00973
